Reference, Value, Footprint, Datasheet
"C1","1uF","Capacitor_SMD:C_0603_1608Metric","~"
"C2","1uF","Capacitor_SMD:C_0603_1608Metric","~"
"C3","100nF","Capacitor_SMD:C_0603_1608Metric","~"
"U1","STM32G030J6Mx","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/stm32g030j6.pdf"
"U2","TSSP58038","OptoDevice:Vishay_MINICAST-3Pin","http://www.vishay.com/docs/82476/tssp58p38.pdf"
"U3","LDK220","Package_TO_SOT_SMD:SOT-23-5","https://www.st.com/resource/en/datasheet/ldk220.pdf"

